person_id,id,character,role
58276,tm160494,Girl in Saloon (uncredited),ACTOR
22001,tm160494,Bit Part (uncredited),ACTOR
71555,tm160494,Bit Part (uncredited),ACTOR
15265,tm160494,(uncredited),ACTOR
71556,tm160494,Lordsburg Saloon Owner (uncredited),ACTOR
71557,tm160494,Bit Part (uncredited),ACTOR
71558,tm160494,Boone's Landlady (uncredited),ACTOR
28655,tm160494,Bit (uncredited),ACTOR
71559,tm160494,Rancher (uncredited),ACTOR
22003,tm160494,Bartender (uncredited),ACTOR
71560,tm160494,Mrs. Pickett (uncredited),ACTOR
71561,tm160494,Bit Part (uncredited),ACTOR
71562,tm160494,Bit Part (uncredited),ACTOR
71563,tm160494,Small Role (uncredited),ACTOR
22477,tm160494,Deputy Frank (uncredited),ACTOR
57389,tm160494,Mrs. Gatewood (uncredited),ACTOR
57390,tm160494,Girl in Saloon (uncredited),ACTOR
27575,tm160494,Ed the Editor (uncredited),ACTOR
13391,tm160494,Bartender (uncredited),ACTOR
71564,tm160494,Capt. Whitney (uncredited),ACTOR
71565,tm160494,Nancy Whitney (uncredited),ACTOR
71566,tm160494,Small Role (uncredited),ACTOR
71567,tm160494,Lordsburg Sheriff (uncredited),ACTOR
71568,tm160494,Lordsburg Express Agent (uncredited),ACTOR
69971,tm160494,Tonto Express Agent Jim (uncredited),ACTOR
41712,tm160494,Tonto Sheriff (uncredited),ACTOR
62993,tm160494,Ogler (uncredited),ACTOR
71569,tm160494,(uncredited),ACTOR
41713,tm160494,Capt. Sickel (uncredited),ACTOR
71570,tm160494,Small Role (uncredited),ACTOR
71571,tm160494,Billy Pickett Jr. (uncredited),ACTOR
71572,tm160494,Lordsburg Bar Patron (uncredited),ACTOR
71573,tm160494,Hank Plummer (uncredited),ACTOR
71574,tm160494,Small Role (uncredited),ACTOR
71575,tm160494,Ike Plummer (uncredited),ACTOR
71576,tm160494,Rancher (uncredited),ACTOR
71577,tm160494,(uncredited),ACTOR
71578,tm160494,(uncredited),ACTOR
71579,tm160494,Townsman (uncredited),ACTOR
71580,tm160494,Lucy's Infant (uncredited),ACTOR
71581,tm160494,Capt. Simmons (uncredited),ACTOR
573361,tm160494,Yakima (uncredited),ACTOR
25637,tm160494,,DIRECTOR
25020,tm87233,George Bailey,ACTOR
26190,tm87233,Mary Hatch,ACTOR
25653,tm87233,Mr. Potter,ACTOR
13301,tm87233,Uncle Billy,ACTOR
34171,tm87233,Clarence,ACTOR
27179,tm87233,Mrs. Bailey,ACTOR
13381,tm87233,Ernie,ACTOR
13323,tm87233,Bert,ACTOR
39498,tm87233,Violet,ACTOR
