person_id,id,character,role
47773,tm22806,Extra (uncredited),ACTOR
584986,tm22806,Extra (uncredited),ACTOR
21771,tm22806,Extra (uncredited),ACTOR
56588,tm22806,Extra (uncredited),ACTOR
71573,tm22806,Extra (uncredited),ACTOR
206026,tm22806,Extra (uncredited),ACTOR
238109,tm22806,Extra (uncredited),ACTOR
79611,tm22806,Extra (uncredited),ACTOR
584957,tm22806,Extra (uncredited),ACTOR
576346,tm22806,Extra (uncredited),ACTOR
173430,tm22806,Woman at Jenkins Employees Dance (uncredited),ACTOR
74196,tm22806,Woman at Jenkins Employees Dance (uncredited),ACTOR
74198,tm22806,Second Priest of Bel (uncredited),ACTOR
24706,tm22806,Jenkins Party Guest (uncredited),ACTOR
34568,tm22806,Crook (uncredited),ACTOR
475701,tm22806,The Mountain Girl's Brother (uncredited),ACTOR
173699,tm22806,Old Babylonian Mother / The City Mother (uncredited),ACTOR
220119,tm22806,Charioteer of the Priest of Bel (uncredited),ACTOR
28654,tm22806,Babylonian Soldier (uncredited),ACTOR
138553,tm22806,Babylonian Judge (uncredited),ACTOR
583759,tm22806,Favorite of the Harem (uncredited),ACTOR
207794,tm22806,Favorite of the Harem (uncredited),ACTOR
106315,tm22806,Favorite of the Harem (uncredited),ACTOR
585927,tm22806,Favorite of the Harem (uncredited),ACTOR
209258,tm22806,Favorite of the Harem (uncredited),ACTOR
212802,tm22806,Favorite of the Harem (uncredited),ACTOR
212818,tm22806,Favorite of the Harem (uncredited),ACTOR
220144,tm22806,Favorite of the Harem (uncredited),ACTOR
156429,tm22806,Favorite of the Harem (uncredited),ACTOR
155938,tm22806,Child in Epilogue (uncredited),ACTOR
580941,tm22806,Child in Epilogue (uncredited),ACTOR
580869,tm22806,Little Girl (uncredited),ACTOR
13367,tm22806,The Runner (uncredited),ACTOR
138538,tm22806,Second Pharisee (uncredited),ACTOR
21170,tm22806,Second Pharisee (uncredited),ACTOR
90205,tm22806,Kindly Neighbor (uncredited),ACTOR
136048,tm22806,Man on White Horse (uncredited),ACTOR
39501,tm22806,Bit Role (uncredited),ACTOR
585951,tm22806,Jenkins's Secretary (uncredited),ACTOR
586964,tm22806,Wife of The Kindly Neighbor (uncredited),ACTOR
175600,tm22806,The Mighty Man of Valor (uncredited),ACTOR
156415,tm22806,Attarea's Slave (uncredited),ACTOR
155886,tm22806,Boy Killed in Battle (uncredited),ACTOR
220037,tm22806,Girl at the Marriage Market (uncredited),ACTOR
151835,tm22806,Girl at the Marriage Market (uncredited),ACTOR
74197,tm22806,Cyrus (uncredited),ACTOR
155932,tm22806,Counselor to Charles IX (uncredited),ACTOR
585774,tm22806,The Favorite of Egibi (uncredited),ACTOR
53489,tm22806,Babylonian Soldier (uncredited),ACTOR
55739,tm22806,,DIRECTOR
25652,tm88001,Federal Agent Wilson,ACTOR
74181,tm88001,Mary Longstreet,ACTOR
15246,tm88001,Charles Rankin,ACTOR
45073,tm88001,Judge Adam Longstreet,ACTOR
74183,tm88001,Noah Longstreet,ACTOR
74182,tm88001,Konrad Meinike,ACTOR
74184,tm88001,Dr. Jeffrey Lawrence,ACTOR
62828,tm88001,Mr. Potter,ACTOR
15620,tm88001,Sara,ACTOR
15259,tm88001,Party Guest (uncredited),ACTOR
20041,tm88001,Fairbright (uncredited),ACTOR
1032744,tm88001,Student (uncredited),ACTOR
27252,tm88001,Minister (uncredited),ACTOR
21366,tm88001,"Todd, Customer in Potter's Store (uncredited)",ACTOR
771189,tm88001,Mrs. Lawrence (uncredited),ACTOR
106285,tm88001,Jogging Student in Woods (uncredited),ACTOR
108231,tm88001,Mr. Peabody (uncredited),ACTOR
15246,tm88001,,DIRECTOR
73323,tm141715,"Erik, The Phantom",ACTOR
73324,tm141715,Christine Daaé,ACTOR
73325,tm141715,Vicomte Raoul de Chagny,ACTOR
73326,tm141715,Ledoux,ACTOR
50372,tm141715,Simon Buquet,ACTOR
73327,tm141715,Comte Philip de Chagny,ACTOR
73328,tm141715,Florine Papillon,ACTOR
73329,tm141715,Carlotta,ACTOR
586057,tm141715,La Sorelli (uncredited),ACTOR
608516,tm141715,Ballerina (uncredited),ACTOR
1246079,tm141715,Ballet Dancer (uncredited),ACTOR
576234,tm141715,Stage Manager (uncredited),ACTOR
1246170,tm141715,Mephistopheles (uncredited),ACTOR
820785,tm141715,Minor Role (uncredited),ACTOR
220125,tm141715,Frightened Ballerina (uncredited),ACTOR
153727,tm141715,Faust (uncredited),ACTOR
106313,tm141715,Ballerina (uncredited),ACTOR
21763,tm141715,Orderly (uncredited),ACTOR
1246078,tm141715,The Jester (uncredited),ACTOR
581347,tm141715,M. Moncharmin (uncredited),ACTOR
206007,tm141715,Count Ruboff (uncredited),ACTOR
37133,tm141715,Guard at Christine's Door (uncredited),ACTOR
1246070,tm141715,Mme. Giry - Keeper of the Box (uncredited),ACTOR
1246086,tm141715,Undetermined Secondary Role (uncredited),ACTOR
206014,tm141715,Manager (uncredited),ACTOR
156107,tm141715,M. Debienne (uncredited),ACTOR
73330,tm141715,Prima Ballerina (uncredited),ACTOR
586397,tm141715,Martha (uncredited),ACTOR
50963,tm141715,Valentin (uncredited),ACTOR
1246104,tm141715,Mama Valerius (uncredited),ACTOR
156111,tm141715,Bit Role in Faust (uncredited),ACTOR
574106,tm141715,Joseph Buquet (uncredited),ACTOR
1246106,tm141715,Director of Opera Orchestra (uncredited),ACTOR
584002,tm141715,Ballerina / Christines Maid (uncredited),ACTOR
14785,tm141715,Operagoer (uncredited),ACTOR
790582,tm141715,Prompter (uncredited),ACTOR
1246126,tm141715,Ballerina (uncredited),ACTOR
584431,tm141715,M. Ricard (uncredited),ACTOR
557408,tm141715,Mob Leader at Finale (uncredited),ACTOR
73331,tm141715,,DIRECTOR
57716,tm2838,Robert Rainsford,ACTOR
28652,tm2838,Eve Trowbridge,ACTOR
28653,tm2838,Martin Trowbridge,ACTOR
72246,tm2838,Count Zaroff,ACTOR
28654,tm2838,Ivan,ACTOR
28655,tm2838,Tartar,ACTOR
152108,tm2838,Captain (uncredited),ACTOR
47823,tm2838,Tartar Servant (uncredited),ACTOR
28656,tm2838,First Mate on Yacht (uncredited),ACTOR
153624,tm2838,Bill Woodman (uncredited),ACTOR
27334,tm2838,Yacht Passenger 'Doc' (uncredited),ACTOR
62831,tm2838,,DIRECTOR
28661,tm2838,,DIRECTOR
21174,tm3541,William 'Willie' Canfield Jr.,ACTOR
34479,tm3541,William 'Steamboat Bill' Canfield Sr.,ACTOR
34478,tm3541,John James 'J.J.' King,ACTOR
34480,tm3541,J.J. King's Daughter Kitty,ACTOR
584639,tm3541,First and Last Mate Tom Carter,ACTOR
34481,tm3541,Minister (uncredited),ACTOR
24730,tm3541,,DIRECTOR
21174,tm3541,,DIRECTOR
21759,tm122846,A Tramp,ACTOR
24701,tm122846,The Kid,ACTOR
24702,tm122846,The Woman,ACTOR
24705,tm122846,The Man,ACTOR
24703,tm122846,Man in Shelter (uncredited),ACTOR
24730,tm122846,Bully (uncredited),ACTOR
24721,tm122846,Flirtatious Angel (uncredited),ACTOR
598679,tm122846,Bride (uncredited),ACTOR
24707,tm122846,Slum Nurse (uncredited),ACTOR
21761,tm122846,Professor Guido / Night Shelter Keeper (uncredited),ACTOR
24719,tm122846,Orphan Asylum Driver (uncredited),ACTOR
24708,tm122846,Assistant (uncredited),ACTOR
24706,tm122846,Bride's Mother (uncredited),ACTOR
24710,tm122846,Welfare Officer (uncredited),ACTOR
24712,tm122846,Extra in Wedding Scene (uncredited),ACTOR
24709,tm122846,Extra in Reception Scene (uncredited),ACTOR
598682,tm122846,Extra in Alley Scene (uncredited),ACTOR
24713,tm122846,Pickpocket / Guest / Devil (uncredited),ACTOR
